frequency,rebalance_distance,annual_return
1,inf,0.0499952805788506
1,0.0,0.0862910689580653
2,0.0,0.0936008861652908
3,0.0,0.0980875169541932
4,0.0,0.1014152269833481
5,0.0,0.1048056933428107
6,0.0,0.1048261123639597
7,0.0,0.1051395622398823
8,0.0,0.1044124202359069
9,0.0,0.1090359820659965
10,0.0,0.1073702114067773
11,0.0,0.1099391082210972
12,0.0,0.1105830017776592
13,0.0,0.1106671279673974
14,0.0,0.1089364665808154
15,0.0,0.1096051135543132
16,0.0,0.1090970169672782
17,0.0,0.1124626136347475
18,0.0,0.1097782752036351
19,0.0,0.111901908450323
20,0.0,0.111847061225017
21,0.0,0.1089420091826947
22,0.0,0.1135016835618345
23,0.0,0.1100442067737432
24,0.0,0.1123016057611359
25,0.0,0.1120775535203699
26,0.0,0.1111490628508833
27,0.0,0.1111567239485327
28,0.0,0.1126092384599752
29,0.0,0.1143289093546593
30,0.0,0.1146353681684397
31,0.0,0.1100645491293046
32,0.0,0.117049261573213
33,0.0,0.1128550261874721
34,0.0,0.1127794769789696
35,0.0,0.1103736874419543
36,0.0,0.1114192966539147
37,0.0,0.1109893714511056
38,0.0,0.1114955729186095
39,0.0,0.1112435499321347
40,0.0,0.1130299338954756
41,0.0,0.1128104534247536
42,0.0,0.108061379122021
43,0.0,0.1137137344685057
44,0.0,0.1087530175499187
45,0.0,0.1089554364440983
46,0.0,0.1101553416266969
47,0.0,0.1092889070693974
48,0.0,0.1090340352296004
49,0.0,0.1120749922484176
50,0.0,0.1132593133391706
51,0.0,0.1103466768564795
52,0.0,0.1126125775967292
53,0.0,0.1118868011140834
54,0.0,0.1120105191338245
55,0.0,0.1121290444970357
56,0.0,0.1114728850297472
57,0.0,0.1107670708211339
58,0.0,0.1125668664871302
59,0.0,0.1096468438358697
60,0.0,0.1073399307705782
61,0.0,0.1144887642423797
62,0.0,0.1146420540980619
63,0.0,0.1118582012896569
64,0.0,0.1098445060983519
65,0.0,0.1106113850804251
66,0.0,0.1097769374129107
67,0.0,0.1098381247324209
68,0.0,0.1101284865814786
69,0.0,0.1105378485453494
70,0.0,0.1075672498986417
71,0.0,0.1062993831391749
72,0.0,0.1026863558806574
73,0.0,0.1098907538292239
74,0.0,0.1083998636031009
75,0.0,0.1057643217796397
76,0.0,0.1057675872569774
77,0.0,0.1070114019959924
78,0.0,0.1116651449980072
79,0.0,0.1189254549572256
80,0.0,0.1150010203403086
81,0.0,0.1142474547253842
82,0.0,0.1148376819086236
83,0.0,0.1145352720062846
84,0.0,0.1131434326227098
85,0.0,0.1105191152574034
86,0.0,0.1065381338221092
87,0.0,0.1030888830958161
88,0.0,0.1077242015830433
89,0.0,0.1096357053243302
90,0.0,0.1098688126064046
91,0.0,0.1114412412849861
92,0.0,0.1114111235828356
93,0.0,0.1056478631482522
94,0.0,0.1061000810535603
95,0.0,0.1066389992669689
96,0.0,0.1021636027901358
97,0.0,0.1025727172734676
98,0.0,0.1072274420100796
99,0.0,0.1088453519601622
100,0.0,0.1118304244619243
101,0.0,0.1097638854007947
102,0.0,0.1047678857566229
103,0.0,0.1048332672905474
104,0.0,0.1048503088139229
105,0.0,0.1037738277458337
106,0.0,0.1026767981546521
107,0.0,0.1060361983811712
108,0.0,0.1067346666973778
109,0.0,0.1067264655809723
110,0.0,0.1019259396971299
111,0.0,0.1021794130700675
112,0.0,0.1008495771171387
113,0.0,0.1052803446008723
114,0.0,0.1094702554020901
115,0.0,0.1092739232674724
116,0.0,0.1110175611798771
117,0.0,0.1158134699681321
118,0.0,0.1157719121373115
119,0.0,0.1168750215891454
120,0.0,0.1078874376841256
121,0.0,0.1080112719578332
122,0.0,0.112559260868378
123,0.0,0.1073275528278949
124,0.0,0.1156495279649763
125,0.0,0.1159617436064899
126,0.0,0.115627608072937
127,0.0,0.1150178964204358
128,0.0,0.1146437631099279
129,0.0,0.1167202631806523
130,0.0,0.1145345375663349
131,0.0,0.1116940251342637
132,0.0,0.1116845316344736
133,0.0,0.1144730741277484
134,0.0,0.1224954180289579
135,0.0,0.1141602208739278
136,0.0,0.1157142645731617
137,0.0,0.1175496960807926
138,0.0,0.1175506507367647
139,0.0,0.1182721318321484
140,0.0,0.1210913407956932
141,0.0,0.1209178434520452
142,0.0,0.1220227451718649
143,0.0,0.119758142687907
144,0.0,0.1216850083056897
145,0.0,0.1195107080175323
146,0.0,0.1198219023175031
147,0.0,0.1141406060232628
148,0.0,0.1076517611353988
149,0.0,0.1136128824411275
150,0.0,0.1204060453461539
151,0.0,0.1162496970614139
152,0.0,0.1207304439350265
153,0.0,0.12006637526346
154,0.0,0.1162630615747992
155,0.0,0.1125010526776799
156,0.0,0.1115069133055488
157,0.0,0.1077480612555306
158,0.0,0.1036965786239854
159,0.0,0.114949073174998
160,0.0,0.1156987531504598
161,0.0,0.1149538361458386
162,0.0,0.1168169529175882
163,0.0,0.1156669589291989
164,0.0,0.1153434601695189
165,0.0,0.1177061687791216
166,0.0,0.1135438190822746
167,0.0,0.1127969943808977
168,0.0,0.1144158075019281
169,0.0,0.1092188175218578
170,0.0,0.1117355676693143
171,0.0,0.1110041977001972
172,0.0,0.1149955372742101
173,0.0,0.1125264709929052
174,0.0,0.1123498802513425
175,0.0,0.1130513064455029
176,0.0,0.1099329772538759
177,0.0,0.1188491107712703
178,0.0,0.1208845436659831
179,0.0,0.1209848150957177
180,0.0,0.1176627904986342
181,0.0,0.1175844507949102
182,0.0,0.1178219448414343
183,0.0,0.1203695592077163
184,0.0,0.1170406193343176
185,0.0,0.1159469277214537
186,0.0,0.1147938104480379
187,0.0,0.1169884541311077
188,0.0,0.1163897449498525
189,0.0,0.114518747592277
190,0.0,0.1172494636745886
191,0.0,0.1186834691156231
192,0.0,0.1213167005581783
